frame,cell_label,area,eccentricity,solidity,extent,aspect_ratio,n_defects,max_defect_depth_ratio
24,7,2893.0,0.8694,0.8987,0.5506,2.0241,4,0.9101
24,8,666.0,0.6801,0.9174,0.5766,1.364,7,0.2868
24,9,2551.0,0.8127,0.946,0.5808,1.7163,4,0.3767
24,11,2769.0,0.6993,1.0002,0.7492,1.3989,3,0.1093
25,1,1609.0,0.8984,0.9181,0.5804,2.2771,2,0.3884
25,2,3615.0,0.8581,0.9157,0.5467,1.9474,5,0.3012
25,3,2455.0,0.5745,1.0099,0.7869,1.2217,1,0.0541
25,4,2030.0,0.8705,0.8992,0.5562,2.0319,3,0.4974
25,6,1560.0,0.6067,0.9814,0.7256,1.2579,4,0.2475
25,7,2212.0,0.5399,1.0084,0.7588,1.188,1,0.0754
25,8,913.0,0.8834,0.4092,0.2074,2.1342,5,1.9168
25,9,1293.0,0.6423,1.0201,0.7159,1.3048,0,0.0406
25,11,1999.0,0.2006,0.9749,0.7395,1.0208,5,0.203
25,12,2561.0,0.4667,0.897,0.6467,1.1307,5,1.4848
26,1,1619.0,0.8065,0.9386,0.6805,1.6912,2,0.4804
26,2,1888.0,0.4642,1.0083,0.7284,1.129,2,0.0682
26,3,1468.0,0.612,0.9031,0.6124,1.2644,4,0.7985
26,4,951.0,0.6942,1.0166,0.7205,1.3892,2,0.0995
26,5,2097.0,0.5032,0.9624,0.7532,1.1572,2,0.6497
26,6,2207.0,0.492,1.0046,0.7481,1.1487,1,0.0814
26,7,1709.0,0.3898,0.8452,0.6444,1.0859,2,1.5752
26,8,2357.0,0.3578,1.0168,0.7802,1.0709,0,0.0365
26,9,1829.0,0.8277,0.912,0.5954,1.782,2,0.5111
26,10,2080.0,0.827,0.9493,0.6537,1.7786,6,0.1725
26,13,2264.0,0.4858,0.9958,0.7675,1.1441,1,0.2608
27,1,2002.0,0.8651,0.7834,0.5833,1.9933,5,2.3364
27,2,4381.0,0.8285,0.9594,0.6614,1.7856,4,0.2437
27,4,2189.0,0.5057,1.0144,0.7548,1.1591,0,0.0379
27,5,3432.0,0.5631,1.007,0.7603,1.2101,1,0.0587
27,6,2344.0,0.8322,0.9475,0.6854,1.8036,4,0.3595
27,7,2275.0,0.833,0.849,0.5588,1.8073,4,2.1231
27,8,1667.0,0.8993,0.9464,0.7004,2.2866,2,0.3953
27,10,3682.0,0.8791,0.9778,0.7592,2.0977,2,0.174
27,11,3113.0,0.794,0.8116,0.5722,1.6449,3,1.3332
27,12,2779.0,0.5266,1.0082,0.7519,1.1763,1,0.0553
27,13,2643.0,0.6125,0.9125,0.672,1.2651,1,1.4185
27,14,2384.0,0.7628,0.8596,0.6113,1.5464,4,0.6458
27,15,2640.0,0.5912,1.0113,0.7619,1.2399,0,0.0462
27,16,3613.0,0.7099,0.9654,0.6512,1.4199,4,0.1835
28,2,884.0,0.6969,1.0351,0.7621,1.3944,0,0.0433
28,3,1268.0,0.6959,1.0296,0.777,1.3925,0,0.0369
28,4,2476.0,0.4676,1.0108,0.7642,1.1313,0,0.0469
28,6,2758.0,0.5964,1.0011,0.743,1.2458,2,0.1146
28,7,736.0,0.7956,1.0418,0.705,1.6505,0,0.0485
28,8,1477.0,0.7744,1.0096,0.6883,1.5805,1,0.103
28,9,1116.0,0.7147,1.0319,0.7686,1.4297,0,0.0435
28,10,2697.0,0.6123,1.0075,0.7662,1.2649,2,0.0587
29,1,2180.0,0.866,0.8209,0.5519,1.9998,4,0.6221
29,2,1519.0,0.733,1.0264,0.7595,1.4701,0,0.0455
29,3,3039.0,0.5921,1.0113,0.7688,1.2409,1,0.0509
29,4,1507.0,0.8953,0.9231,0.6524,2.2451,2,0.466
29,5,999.0,0.7225,1.0347,0.7673,1.4464,0,0.044
29,6,1905.0,0.7591,0.9868,0.7087,1.5363,2,0.2452
29,7,932.0,0.5827,1.0419,0.8126,1.2305,0,0.0399
29,8,3179.0,0.5462,1.0063,0.754,1.1938,1,0.0555
29,9,2583.0,0.8542,0.9016,0.6411,1.9235,2,0.4701
29,10,2176.0,0.9016,0.8483,0.5965,2.3117,2,0.994
29,11,2746.0,0.5666,0.986,0.7681,1.2136,2,0.1369
29,12,2822.0,0.8868,0.9254,0.5905,2.1642,4,0.4425
30,1,1637.0,0.7269,0.9844,0.6614,1.4562,2,0.2091
30,2,1732.0,0.8757,0.9,0.6606,2.0714,2,0.6766
